,time,open,close,high,low,volume,id_date
60,2021-03-01 00:00:00+08:00,43504.0,43461.0,43510.0,43448.0,83.30723299,20210301
59,2021-03-01 00:01:00+08:00,43456.0,43294.0,43456.0,43294.0,53.32573856,20210301
58,2021-03-01 00:02:00+08:00,43293.82245531,43496.0,43620.0,43175.0,103.21287079,20210301
57,2021-03-01 00:03:00+08:00,43483.0,43741.0,43783.10787524,43407.0,47.39486481,20210301
56,2021-03-01 00:04:00+08:00,43742.0,43943.0,43947.0,43661.0,29.34621385,20210301
55,2021-03-01 00:05:00+08:00,43947.0,43836.054339,43999.0,43804.0,25.01770768,20210301
54,2021-03-01 00:06:00+08:00,43848.0,43771.0,43848.0,43767.0,87.39870624,20210301
53,2021-03-01 00:07:00+08:00,43770.0,43751.0,43841.46118448,43748.0,51.97413445,20210301
52,2021-03-01 00:08:00+08:00,43751.0,43763.0,43775.0,43713.0,23.58902387,20210301
51,2021-03-01 00:09:00+08:00,43762.0,43766.0,43775.0,43737.0,7.12607333,20210301
50,2021-03-01 00:10:00+08:00,43775.0,43707.0,43775.0,43655.0,23.90313264,20210301
49,2021-03-01 00:11:00+08:00,43708.0,43561.0,43708.0,43561.0,9.53985962,20210301
48,2021-03-01 00:12:00+08:00,43561.0,43397.0,43600.0,43397.0,87.37357767,20210301
47,2021-03-01 00:13:00+08:00,43436.0,43377.0,43464.0,43361.0,13.45202831,20210301
46,2021-03-01 00:14:00+08:00,43400.0,43480.0,43536.0,43399.2149585,49.84902451,20210301
45,2021-03-01 00:15:00+08:00,43488.0,43529.298582,43539.25136838,43342.0,9.8002791,20210301
44,2021-03-01 00:16:00+08:00,43541.66578924,43586.0,43629.79215063,43541.66578924,2.59370967,20210301
43,2021-03-01 00:17:00+08:00,43603.23352117,43722.0,43722.0,43603.0,66.64392356,20210301
42,2021-03-01 00:18:00+08:00,43715.0,43622.0,43756.0,43611.0,35.47744284,20210301
41,2021-03-01 00:19:00+08:00,43627.0,43740.0,43756.0,43567.0,55.43768095,20210301
40,2021-03-01 00:20:00+08:00,43746.0,43744.0,43755.0,43704.0,14.55248178,20210301
39,2021-03-01 00:21:00+08:00,43735.0,43750.0,43751.0,43735.0,30.19338032,20210301
38,2021-03-01 00:22:00+08:00,43740.0,43695.0,43751.0,43690.0,6.98593157,20210301
37,2021-03-01 00:23:00+08:00,43690.0,43652.188503,43694.0,43611.0,4.58839289,20210301
36,2021-03-01 00:24:00+08:00,43638.0,43571.0,43640.0,43542.0,11.23007242,20210301
35,2021-03-01 00:25:00+08:00,43617.0,43576.0,43639.0,43576.0,0.4555521,20210301
34,2021-03-01 00:26:00+08:00,43559.317494,43518.0,43579.0,43518.0,8.00571818,20210301
33,2021-03-01 00:27:00+08:00,43517.52158064,43424.0,43517.52158064,43424.0,41.05016819,20210301
32,2021-03-01 00:28:00+08:00,43437.0,43365.0,43437.0,43323.0,26.09337529,20210301
31,2021-03-01 00:29:00+08:00,43364.0,43444.0,43475.0,43364.0,3.09509771,20210301
30,2021-03-01 00:30:00+08:00,43432.0,43542.0,43548.0,43401.0,3.5525348500000002,20210301
29,2021-03-01 00:31:00+08:00,43546.0,43457.0,43547.0,43421.0,5.92354853,20210301
28,2021-03-01 00:32:00+08:00,43448.0,43499.0,43499.0,43440.0,4.69423796,20210301
27,2021-03-01 00:33:00+08:00,43490.0,43566.0,43566.0,43490.0,9.44324003,20210301
26,2021-03-01 00:34:00+08:00,43566.0,43614.0,43666.0,43566.0,13.21044946,20210301
25,2021-03-01 00:35:00+08:00,43612.0,43627.0162276,43657.0,43545.246129,4.51680127,20210301
24,2021-03-01 00:36:00+08:00,43637.0,43734.0,43734.0,43625.0,4.07550231,20210301
23,2021-03-01 00:37:00+08:00,43716.0,43716.0,43731.0,43700.0,5.88708698,20210301
22,2021-03-01 00:38:00+08:00,43716.0,43715.0406,43732.84620632,43674.0,14.57254148,20210301
21,2021-03-01 00:39:00+08:00,43714.0,43773.0,43774.0,43714.0,0.46029626,20210301
20,2021-03-01 00:40:00+08:00,43774.62119792,43762.0,43775.0,43749.0,23.06923886,20210301
19,2021-03-01 00:41:00+08:00,43760.0,43785.0,43800.0,43760.0,32.72474348,20210301
18,2021-03-01 00:42:00+08:00,43781.645061,43851.0,43851.0,43781.645061,9.50538802,20210301
17,2021-03-01 00:43:00+08:00,43850.0,43864.0,43864.0,43850.0,17.05717083,20210301
