Weight,From,To
1,1.00052E+18,2781202710
1,1.00259E+18,2946171664
1,1.00355E+18,16545981
1,1.0046E+18,9.92498E+17
1,1.00476E+18,1.30315E+18
1,1.00492E+18,1.37323E+18
1,1.00492E+18,1384411003
1,1.00492E+18,1.34351E+18
1,1.00542E+18,1.32964E+18
1,1.00612E+18,1.29612E+18
1,1.00612E+18,8.53836E+17
1,1.00612E+18,38944750
1,1.00612E+18,9.47532E+17
1,1.00616E+18,3195889007
1,1.00616E+18,1373901266
1,1.00754E+18,4666179488
1,1.00852E+18,1.03971E+18
1,1.00852E+18,1.24714E+18
1,1.00931E+18,1.346E+18
1,1.00931E+18,1.31111E+18
1,1.00931E+18,9.52595E+17
1,1.00931E+18,1.15149E+18
1,1.00931E+18,9.12747E+17
1,1.00931E+18,9.92535E+17
1,1.00931E+18,426277984
1,1.00931E+18,7.04793E+17
1,1.01046E+18,87493194
1,1.01114E+18,194499127
1,1.01114E+18,1.1179E+18
1,1.01202E+18,1.19766E+18
1,1.013E+18,1.26107E+18
1,1.013E+18,1.26454E+18
1,1.013E+18,3929161
1,1.013E+18,1218147452
1,1.013E+18,1.24032E+18
1,101317272,1.08428E+18
1,101317272,1.20376E+18
1,1.01622E+18,9.51376E+17
1,1.01639E+18,1.35842E+18
1,1.01639E+18,1.35519E+18
1,1.01639E+18,1.36E+18
1,1.01775E+18,9.49051E+17
1,1.01775E+18,34596198
1,1.01775E+18,1.29386E+18
1,1.01775E+18,9.95698E+17
1,1.01936E+18,1.29893E+18
1,1.01936E+18,9.82014E+17
1,1.01936E+18,1325491398
1,1.02031E+18,437819112
1,1.02031E+18,1.10645E+18
1,1.02139E+18,3038412281
1,1.02151E+18,17532775
1,1.02151E+18,2206539405
1,1.02151E+18,9.51376E+17
1,1.02235E+18,7.96335E+17
1,1.0234E+18,1051409982
1,1.02553E+18,3686828722
1,102700779,426277984
1,102700779,8.46492E+17
1,1.02866E+18,1.37042E+18
1,1.03005E+18,55585412
1,1.03005E+18,8.1816E+17
1,1.03005E+18,1.1866E+18
1,1.03005E+18,9.99181E+17
1,1.03138E+18,9.48081E+17
1,1.03165E+18,1.32795E+18
1,1.03165E+18,9.65865E+17
1,1.03165E+18,1.16986E+18
1,1.03165E+18,1.33109E+18
1,1.03165E+18,1.19881E+18
1,1.03165E+18,4071006503
1,1.03165E+18,9.44593E+17
1,1.03204E+18,1.13221E+18
1,1.03259E+18,9.04612E+17
1,1.03259E+18,21326475
1,1.03259E+18,1.05256E+18
1,1.03259E+18,9.44837E+17
1,1.03407E+18,322286421
1,1.03542E+18,9.63674E+17
1,1.03542E+18,2922331025
1,1.03542E+18,339544187
1,1.03542E+18,1.25937E+18
1,1.03542E+18,1.34297E+18
1,1.03542E+18,1.30824E+18
1,1.03542E+18,1.15826E+18
1,1.03545E+18,9.31954E+17
1,1.03627E+18,2939933507
1,1.03985E+18,1.25257E+18
1,104119607,3547970067
1,1.04243E+18,9.00741E+17
1,1.04331E+18,1.06788E+18
1,1.04331E+18,1.27301E+18
1,1.04331E+18,9.26443E+17
1,1.04331E+18,3114052794
1,1.04331E+18,1.28962E+18
1,1.04824E+18,9.11959E+17
1,104904044,266260135
1,1.05113E+18,9.01266E+17
1,1051409982,1.0234E+18
1,1.05182E+18,1.27033E+18
1,1.05182E+18,1084984824
1,1.05256E+18,3307318595
1,1.05267E+18,1.2482E+18
1,1.05267E+18,1.27243E+18
1,1.05267E+18,1.27043E+18
1,1.05267E+18,8.38073E+17
1,1.05267E+18,9.13375E+17
1,1.05487E+18,1.09302E+18
1,105500699,20066079
1,1.05608E+18,3627765012
1,1.05608E+18,1.37941E+18
1,1.05608E+18,1.1417E+18
1,1.05608E+18,1.30508E+18
1,1.05903E+18,1.34102E+18
1,1.05903E+18,1.29612E+18
1,1.05903E+18,1.22471E+18
1,1.05986E+18,1.17178E+18
1,1.05986E+18,1.27301E+18
1,1.06135E+18,9.49086E+17
1,1.06135E+18,1402485997
1,1.06135E+18,18152452
1,1.06135E+18,8.22229E+17
1,1.06135E+18,9.00741E+17
1,1.06135E+18,1.08428E+18
1,1.06135E+18,8.38077E+17
1,1.06135E+18,1.08452E+18
1,1.06135E+18,260079722
1,1.06145E+18,1.14997E+18
