twitter_handle_id,degree_total,degree_in,degree_out,pr,adj_tri
1.00052e+18,3,2,1,4.020357891282577e-4,0
1.00259e+18,1,0,1,2.0060070574787447e-4,0
1.00355e+18,2,1,1,0.0013373380383133726,0
1.0046e+18,5,4,1,0.003180861424325574,0
1.00476e+18,2,1,1,0.0013373380383133726,0
1.00492e+18,4,1,3,2.347028257250131e-4,0.5
1.00542e+18,2,1,1,3.391054740411646e-4,0
1.00612e+18,6,2,4,0.00038982284674682186,0.2
1.00616e+18,4,2,2,0.0010152521776448467,0
1.00754e+18,3,2,1,0.0023323212610800743,0
1.00852e+18,4,2,2,7.945256933544648e-4,0
1.00931e+18,11,3,8,6.067841600666126e-4,0.01818181818181818
1.01046e+18,2,1,1,0.0013373380383133726,0
1.01114e+18,5,3,2,4.4808415684120475e-4,0
1.01202e+18,3,2,1,4.7889243742521527e-4,0
1.013e+18,11,6,5,0.0020241961705358582,0.16363636363636364
101317272,3,1,2,2.788436707902331e-4,0
1.01622e+18,3,2,1,5.687758027904007e-4,0
1.01639e+18,8,5,3,7.111418803103007e-4,0.2857142857142857
1.01775e+18,5,1,4,3.0016250761843457e-4,0
1.01936e+18,4,1,3,3.434522683799729e-4,0
1.02031e+18,2,0,2,2.0060070574787447e-4,0
1.02139e+18,2,1,1,0.0013373380383133726,0
1.02151e+18,4,1,3,3.314282696196136e-4,0
1.02235e+18,2,1,1,4.245944497404046e-4,0
1.0234e+18,4,3,1,0.0037803405712897218,0
1.02553e+18,2,1,1,4.47524079358464e-4,0
102700779,3,1,2,5.809961732020259e-4,0
1.02866e+18,4,3,1,2.8652315225516324e-4,0
1.03005e+18,9,5,4,6.968247487917738e-4,0.1111111111111111
1.03138e+18,6,5,1,9.017821363485032e-4,0.13333333333333333
1.03165e+18,10,3,7,7.715968276917136e-4,0
1.03204e+18,2,1,1,0.0013373380383133726,0
1.03259e+18,6,2,4,7.424399638514753e-4,0.06666666666666667
1.03407e+18,3,2,1,5.940613350222723e-4,0
1.03542e+18,13,6,7,9.082244446242789e-4,0.07692307692307693
1.03545e+18,3,2,1,5.091981483048053e-4,0
1.03627e+18,1,0,1,2.0060070574787447e-4,0
1.03985e+18,1,0,1,2.0060070574787447e-4,0
104119607,2,1,1,0.0013373380383133726,0
1.04243e+18,9,8,1,0.0012652692219037862,0.1111111111111111
1.04331e+18,17,12,5,0.001259507718829574,0.15441176470588236
1.04824e+18,2,1,1,2.8585600569072114e-4,0
104904044,1,0,1,2.0060070574787447e-4,0
1.05113e+18,1,0,1,2.0060070574787447e-4,0
1051409982,3,2,1,0.0035844007912275862,0
1.05182e+18,3,1,2,3.7479335299780324e-4,0
1.05256e+18,4,3,1,0.0010154272794693012,0
1.05267e+18,8,3,5,0.0015662863647296315,0.07142857142857142
1.05487e+18,2,1,1,2.6821959205906816e-4,0
105500699,2,1,1,3.1211005517857725e-4,0
1.05608e+18,6,2,4,4.456137975469247e-4,0
1.05903e+18,4,1,3,2.8974519668454636e-4,0.16666666666666666
1.05986e+18,5,3,2,3.536730164230224e-4,0.1
1.06135e+18,16,7,9,7.056842169084646e-4,0.11666666666666667
1.06145e+18,7,4,3,0.0013897043898180531,0.047619047619047616
1.06164e+18,8,3,5,7.559791906167754e-4,0
1.06216e+18,6,3,3,6.134448167263309e-4,0.13333333333333333
1.06407e+18,2,1,1,3.904016030640915e-4,0
1.06788e+18,21,10,11,0.001434886574673316,0.14285714285714285
1.074e+18,7,4,3,8.578592531197517e-4,0.047619047619047616
1.07404e+18,2,0,2,2.0060070574787447e-4,0
1.07449e+18,3,2,1,0.0019517906505134139,0
1.07551e+18,2,1,1,0.0013373380383133726,0
1.07612e+18,1,0,1,2.0060070574787447e-4,0
1.07841e+18,4,0,4,2.0060070574787447e-4,0
1.07867e+18,2,1,1,5.634252536546521e-4,0
1.07887e+18,5,2,3,6.698855199475314e-4,0
1.07936e+18,22,5,17,7.610837423032399e-4,0
1.08123e+18,4,2,2,9.041411625579216e-4,0.16666666666666666
1.08152e+18,3,2,1,3.115031700641288e-4,0
1.08188e+18,3,0,3,2.0060070574787447e-4,0
1.08303e+18,5,4,1,8.159517608489833e-4,0
1.08342e+18,10,8,2,7.103125403402556e-4,0.15555555555555556
1.08362e+18,2,1,1,0.0013373380383133726,0
1.08428e+18,28,13,15,0.0013807582066336008,0.06084656084656084
1.08429e+18,1,0,1,2.0060070574787447e-4,0
1.08452e+18,11,7,4,6.45893584547267e-4,0.07272727272727272
1084984824,5,4,1,0.0010434323927335655,0
1.08638e+18,10,4,6,7.295310512831919e-4,0.06666666666666667
108878985,1,0,1,2.0060070574787447e-4,0
1.08905e+18,13,9,4,8.305497984986305e-4,0.12820512820512822
1.08921e+18,14,1,13,2.982798134891397e-4,0.010989010989010988
1.09173e+18,14,8,6,0.002625664949138874,0.03296703296703297
1.09426e+18,4,0,4,2.0060070574787447e-4,0
1.09726e+18,2,1,1,0.0013373380383133726,0
1.09844e+18,2,0,2,2.0060070574787447e-4,0
1.10443e+18,2,1,1,0.0011525717754464885,0
1.10554e+18,16,9,7,0.0010696038307005677,0.058333333333333334
110626303,1,0,1,2.0060070574787447e-4,0
1.10839e+18,1,0,1,2.0060070574787447e-4,0
1.10845e+18,1,0,1,2.0060070574787447e-4,0
1.10868e+18,5,1,4,2.5497765282406904e-4,0
1.11016e+18,4,2,2,4.03803834765654e-4,0
1.11096e+18,5,4,1,0.0025726234010256827,0
1.11129e+18,12,6,6,0.001264442761197686,0.22727272727272727
111421712,1,0,1,2.0060070574787447e-4,0
1.11456e+18,1,0,1,2.0060070574787447e-4,0
1.11573e+18,3,2,1,4.2237749193369537e-4,0.3333333333333333
1.11713e+18,3,2,1,3.443279970324339e-4,0
1.11779e+18,4,3,1,4.577081580552164e-4,0
1.11781e+18,6,4,2,0.001143798704725571,0
1.1179e+18,4,3,1,4.723973396572702e-4,0
1.11846e+18,6,4,2,4.4504411007883403e-4,0
1.1203e+18,1,0,1,2.0060070574787447e-4,0
1.1222e+18,13,8,5,8.28912964052514e-4,0.12820512820512822
112256703,1,0,1,2.0060070574787447e-4,0
1.125e+18,2,1,1,2.9684620072492526e-4,0
1.12786e+18,1,0,1,2.0060070574787447e-4,0
1.12803e+18,3,0,3,2.0060070574787447e-4,0
1.13043e+18,4,2,2,3.997996704950297e-4,0
1.1319e+18,6,5,1,0.001195113652759795,0.06666666666666667
1.13221e+18,2,1,1,0.0013373380383123509,0
1.13388e+18,2,1,1,3.598878807719409e-4,0
1.13401e+18,15,10,5,0.0014220830263715995,0.10476190476190475
1.13846e+18,3,2,1,0.0016841686508447403,0
1.13998e+18,7,6,1,6.285699102643821e-4,0.19047619047619047
1.14007e+18,3,2,1,4.6341112857389025e-4,0
1.1411e+18,6,3,3,6.28328234678406e-4,0
1.14146e+18,5,2,3,6.426645863522539e-4,0
1.14153e+18,2,1,1,3.5330791489668475e-4,0
1.1417e+18,10,4,6,7.593151073163483e-4,0.044444444444444446
1.14227e+18,1,0,1,2.0060070574787447e-4,0
1.14301e+18,4,2,2,3.9655440619177805e-4,0
1.1459e+18,4,1,3,2.4081924846723385e-4,0
1.14629e+18,1,0,1,2.0060070574787447e-4,0
1.1485e+18,4,2,2,8.114545159566023e-4,0
1.14989e+18,2,1,1,5.943502828623385e-4,0
1.14997e+18,8,5,3,0.0017185114154482037,0
1.15027e+18,6,3,3,0.001052714721683195,0
1151355734,4,2,2,9.987344023460589e-4,0.16666666666666666
1.15149e+18,11,9,2,8.754866669599974e-4,0.12727272727272726
1.15183e+18,1,0,1,2.0060070574787447e-4,0
115277678,2,1,1,3.293951712424305e-4,0
1.15396e+18,2,1,1,3.434522683799729e-4,0
1.15578e+18,2,1,1,0.0013373380383133726,0
1.15627e+18,2,1,1,4.966641267702499e-4,0
1.15769e+18,41,16,25,0.0016506215482157388,0.05365853658536586
1.15826e+18,12,6,6,7.353110262862118e-4,0.09090909090909091
1.15913e+18,1,0,1,2.0060070574787447e-4,0
1159890631,2,1,1,7.363433295472144e-4,0
1.16108e+18,3,2,1,0.0012466414280314635,0
1.16314e+18,2,1,1,2.4430616892406643e-4,0
116430721,7,2,5,3.2500413152293625e-4,0.19047619047619047
1.16814e+18,2,1,1,0.0013373380383133726,0
1.16986e+18,4,2,2,4.606364681667903e-4,0
1.17064e+18,3,2,1,5.722264228290898e-4,0
1.17138e+18,1,0,1,2.0060070574787447e-4,0
1.17178e+18,10,6,4,0.0014169082474083715,0.022222222222222223
1.17434e+18,2,0,2,2.0060070574787447e-4,0
117550842,13,5,8,8.843553047817168e-4,0.025641025641025644
11774,8,3,5,5.031435483297068e-4,0.03571428571428571
1177439730,2,1,1,6.799123418896557e-4,0
1.17758e+18,7,5,2,8.395035193449092e-4,0.2857142857142857
1.17804e+18,1,0,1,2.0060070574787447e-4,0
1.17828e+18,9,1,8,2.669071094754746e-4,0
1.18027e+18,1,0,1,2.0060070574787447e-4,0
1.18173e+18,1,0,1,2.0060070574787447e-4,0
1.18436e+18,2,1,1,0.0013373380383133726,0
1.1844e+18,27,12,15,0.0011701130069593526,0.031339031339031334
1.18633e+18,10,5,5,5.533508975691411e-4,0.06666666666666667
1.18708e+18,14,10,4,0.0016973831783264677,0.1758241758241758
1.18856e+18,21,13,8,0.0037026417099323278,0.08571428571428572
1.19171e+18,30,15,15,0.0017032014007955852,0.09425287356321839
1.1934e+18,5,3,2,8.490968890614875e-4,0
1.1953e+18,2,1,1,4.6826565366550697e-4,0
1.19766e+18,8,4,4,0.0012186780414178736,0.07142857142857142
1.19881e+18,2,1,1,2.942946062532967e-4,0
1.19899e+18,2,1,1,3.391054740408057e-4,0
1.20141e+18,5,1,4,3.3143591523659565e-4,0
1.20206e+18,11,6,5,8.811809831161352e-4,0.05454545454545454
1.20221e+18,2,1,1,3.0202903521466435e-4,0
1.20278e+18,8,4,4,6.779939879068031e-4,0.17857142857142858
120288669,2,1,1,0.0013373380383133726,0
1.20289e+18,11,3,8,6.452784443686398e-4,0
1.20339e+18,16,7,9,8.105632154838664e-4,0.11666666666666667
1.20364e+18,26,11,15,9.343536464734371e-4,0.10153846153846154
1.20376e+18,20,11,9,0.001331527361328295,0.021052631578947368
1.20451e+18,16,7,9,0.001662461316743115,0.058333333333333334
1.20452e+18,5,1,4,4.52919976364061e-4,0
1.2062e+18,4,2,2,8.537048186042576e-4,0
1.20664e+18,7,4,3,0.001013183177412504,0
1.20779e+18,4,2,2,5.428245115232617e-4,0
1213873928,7,5,2,9.111584847229852e-4,0.14285714285714285
1.21408e+18,5,3,2,4.6640470504300875e-4,0
1.21466e+18,8,4,4,0.0017447083946880452,0.07142857142857142
1.21738e+18,1,0,1,2.0060070574787447e-4,0
1218147452,6,5,1,9.709416819503172e-4,0.4
1.21817e+18,2,0,2,2.0060070574787447e-4,0
1.21828e+18,4,2,2,6.278359855660325e-4,0.16666666666666666
