twitter_handle_id,COUNT_OF_TWEETS
617853906,14554
1050242743350439937,2252
968796006576947200,2154
1048905259,2079
2281314234,1987
1097488661699006464,1707
1009357757219266560,1162
736956852764835841,1147
953947929978392576,1025
37983966,972
1270845412690333696,970
980812831942758400,915
950845652707155969,833
1299632796844077057,829
1300078897585893376,828
874402553844334592,791
3509078064,771
3438036358,761
771502019471220736,735
915882541864775680,698
3171905956,634
1256245948889653248,623
962661369723150336,576
1362146248493568005,573
884838317400915968,505
721424072,494
3875594838,451
1014666657686409216,443
1209980040550768640,417
395663767,416
921082875839119360,397
809869410215362560,388
1000111792444657665,388
1000122114169561088,388
1024959511071797248,386
1288290616313511936,384
1269581503970697221,383
1311167404014268418,379
285603076,379
904191421158010880,378
1358006734598664194,376
42627979,369
393697898,369
1126776989266792448,368
1337908967159238660,359
952724744478044165,335
1218527022449864706,332
1048171367307329536,331
1358867817475416068,326
990831118072078341,317
2989711097,310
951027807374794752,304
1466726246,298
946481773726326785,296
1260968439931420677,290
902975952438865924,290
1323280062,285
1265097730642321414,281
934217789492957184,279
1172435646964621313,271
34031359,269
376470288,262
797371893368180736,260
109082290,257
194297917,257
1316653384301191169,253
1176621624948404224,249
3067657002,246
1270009525899333632,243
1102333160430465024,228
1144271538545410048,225
4777121181,225
803159947538206720,220
731899724018659328,217
892760065,213
921655590602051589,207
928370706051747841,206
766271113,205
1173000273113075713,204
666913,203
2461836727,203
75673231,203
1324503948691197954,202
1306358514785366017,200
1311335970910896129,198
1139188584219578368,195
1025494047564226560,195
1177988321168871424,195
1306393207563935744,194
24911207,193
1151183431386181632,193
1016134430732308481,193
95918629,192
1112946154629554177,192
1254598912775614464,191
569423754,191
1114840675919511553,191
44628092,191
2232163009,190
1260148537708425216,190
3372977747,190
1056278376628056064,190
1147946864081350658,190
882319320587526144,187
1094879552361373698,187
840479603143630849,187
1920936714,187
1334622867586248704,187
873955144429383680,187
161593578,186
1165523270235385856,185
1338000193816461312,184
1307711776696406017,184
3351117989,183
969280657032654848,182
722691458092965889,181
258480144,180
814096969178157056,179
398851818,178
944160083780538369,178
2211900062,178
726437948527398912,177
1161247918134718464,177
748271767047839745,176
906373159733141504,174
1070351212044783616,173
1224543683447488513,173
399594332,171
970994516357472257,169
1214586170732142592,169
3296457397,168
1328583929704681472,168
947260556658044928,167
288638912,167
1324745333285347336,165
3166923215,165
1197637831407161346,164
882655477515112450,163
2789911406,163
2173508552,162
900733685716193281,161
1311368888316092416,161
906606163621421056,160
1252228598158766080,159
996152083341565952,156
1183409623690285062,155
1319373852472999936,155
900723782553407489,155
941249240314953728,155
2845492683,155
1178496567709446144,154
1456433029,154
3482504308,154
734390196771381248,153
963164138733232128,149
172846941,149
871506756047781888,148
1366709892136984576,148
1354175260074061824,147
967839506220056577,147
1269587120869437441,146
868135003649167363,146
1364844086352486404,145
83711683,144
1294766334908207105,141
3876538094,140
2908794763,139
1365371284335509509,139
1364970203604537344,138
1115823201316110336,138
170049408,137
3300633006,137
1309582843,137
1118348077109272577,136
1161041895956631558,136
1345329511605415936,135
1317239022045982720,132
745586707,132
35854162,132
1253886987238543363,131
1361400822593167361,131
1340884161444290560,130
2162223637,129
39975040,128
1243218366459854848,128
828774937640841216,125
1199361848392454144,123
1259662348421410816,123
1298181632680173569,123
1042654219357118464,123
4835448563,122
47988496,122
2222434682,120
2377034803,120
18272274,120
